name,date,location,description
Networking & Creating a LinkedIn Profile,"Monday, April 2, 2018",Computer Lab - Career Center OC3105,"Set up your professional profile, learn the basics, and effectively harness the power of LinkedIn to connect with employers, gather career information, and find jobs."
Financial Fitness,"Monday, April 2, 2018",BLDG 3400 STUDENT CENTER - Social Justice & Equity Center (OC3445),"Understanding the rules of how money works, and building good money habits now, will set the tone for your level of financial fitness in the future. Join us and learn how to build good money habits, including money skills to assist you with minimizing debt, the importance of creating a spending plan, and much more!"
